"Treatment","Month","Tmin","Tmax","Year","SSP_Time","month_name"
NA,11,3.42176230882341,8.42788923207121,2079,"SSP1 2085","November"
NA,11,0.437525645864217,5.96701722102647,2064,"SSP1 2085","November"
NA,11,-0.797145253545937,5.29567101144437,2062,"SSP1 2085","November"
NA,11,1.65399797040778,9.35105204152043,2028,"SSP1 2085","November"
NA,11,2.24474990164118,10.2819536109848,2033,"SSP1 2085","November"
NA,11,3.64603404229219,12.3305084077761,2045,"SSP1 2085","November"
NA,11,8.63808485173659,15.8585135889076,2074,"SSP1 2085","November"
NA,11,8.44537888108417,14.6561194865331,2097,"SSP1 2085","November"
NA,11,7.59024610752472,13.180497426653,2052,"SSP1 2085","November"
NA,11,5.80172981532473,10.849939453703,2024,"SSP1 2085","November"
NA,12,0.246005731078372,4.12596592403152,2018,"SSP1 2085","December"
NA,12,-1.96134168135222,2.8149619015682,2084,"SSP1 2085","December"
NA,12,-5.1292851314511,1.18212753598922,2026,"SSP1 2085","December"
NA,12,1.83313933150034,8.53297070110586,2085,"SSP1 2085","December"
NA,12,2.36159491706975,9.01322929760381,2069,"SSP1 2085","December"
NA,12,4.74715705269182,11.1320794277432,2086,"SSP1 2085","December"
NA,12,6.09051501462619,12.1475574809211,2081,"SSP1 2085","December"
NA,12,5.08443354258452,9.68492417070095,2042,"SSP1 2085","December"
NA,12,4.02587899206452,7.8426286236795,2070,"SSP1 2085","December"
NA,1,0.755183342391282,4.30740811843641,2072,"SSP1 2085","January"
NA,1,-2.94542483577,1.39652174156441,2022,"SSP1 2085","January"
NA,1,-3.22403183571292,1.67084125450513,2048,"SSP1 2085","January"
NA,1,-2.99485715522188,2.80512206476737,2015,"SSP1 2085","January"
NA,1,-1.03416754430832,6.41657323735245,2004,"SSP1 2085","January"
NA,1,3.28073808685099,10.7127243017027,2005,"SSP1 2085","January"
NA,1,4.97288870522111,11.7580497733469,2066,"SSP1 2085","January"
NA,1,6.87779001234632,12.5671754619987,2069,"SSP1 2085","January"
NA,1,6.28155797632905,11.347758510657,2006,"SSP1 2085","January"
NA,1,5.01155380525565,9.35364668812033,2081,"SSP1 2085","January"
NA,2,2.07541544493214,6.22369845279471,2011,"SSP1 2085","February"
NA,2,-1.19031477755903,3.03885229917317,2062,"SSP1 2085","February"
NA,2,-2.89485510012166,2.60971268727599,2091,"SSP1 2085","February"
NA,2,-3.88577114794229,5.53131149398979,2068,"SSP1 2085","February"
NA,2,4.45326484872779,12.3148973734827,2076,"SSP1 2085","February"
NA,2,5.51574846692928,11.2313010903758,2040,"SSP1 2085","February"
NA,2,3.493287826393,7.81231228893886,2042,"SSP1 2085","February"
NA,3,5.16913525529536,10.1671978975348,2051,"SSP1 2085","March"
NA,3,1.49141883853476,8.33137986222092,2091,"SSP1 2085","March"
NA,3,-0.695047366808445,8.01450764723507,2086,"SSP1 2085","March"
NA,3,-1.1203829237315,8.32829400394625,2042,"SSP1 2085","March"
NA,3,-0.917248342428525,10.1968490958443,2082,"SSP1 2085","March"
NA,3,4.90781984646349,17.6334746382548,2081,"SSP1 2085","March"
NA,3,6.03769460400219,15.5590706089929,2096,"SSP1 2085","March"
NA,3,6.12950786813987,13.4874912159456,2055,"SSP1 2085","March"
NA,4,6.24965093453261,15.2920632233327,2053,"SSP1 2085","April"
NA,4,4.35305727178496,13.3743254779784,2051,"SSP1 2085","April"
NA,4,0.912471233021364,12.3799269969858,2039,"SSP1 2085","April"
NA,4,0.756978652968885,12.9221886086862,2015,"SSP1 2085","April"
NA,4,3.45314380268953,17.7915395809899,2100,"SSP1 2085","April"
NA,4,6.07819140352504,20.5906106002524,2056,"SSP1 2085","April"
NA,4,8.11936745588166,20.8459656660257,2020,"SSP1 2085","April"
NA,4,9.88215580018868,20.5573323889157,2022,"SSP1 2085","April"
NA,4,9.33257781646121,19.3645633183711,2066,"SSP1 2085","April"
NA,5,9.44158278964068,17.7486567661393,2033,"SSP1 2085","May"
NA,5,8.3827614606742,16.8070660379771,2007,"SSP1 2085","May"
NA,5,7.7498685860257,16.6658299955034,2100,"SSP1 2085","May"
NA,5,6.13970291973268,16.5718507651133,2055,"SSP1 2085","May"
NA,5,5.48355252486207,19.606156137783,2040,"SSP1 2085","May"
NA,5,8.32022347376766,22.761951653308,2038,"SSP1 2085","May"
NA,5,12.8840009075189,25.6542520045841,2027,"SSP1 2085","May"
NA,5,12.6766448425461,23.128404027414,2039,"SSP1 2085","May"
NA,6,13.347816037767,21.6285804690995,2037,"SSP2 2050","June"
