"SSP_Time","GCM","Year","Pheno"
"SSP1 2050","CMCC-ESM2",2093,110.083333333333
"SSP1 2050","CMCC-ESM2",2094,103.875
"SSP1 2050","CMCC-ESM2",2095,121.416666666667
"SSP1 2050","CMCC-ESM2",2096,85.3333333333333
"SSP1 2050","CMCC-ESM2",2097,120.958333333333
"SSP1 2050","CMCC-ESM2",2098,105.041666666667
"SSP1 2050","CMCC-ESM2",2099,103.125
"SSP1 2050","CMCC-ESM2",2100,94.0416666666667
"SSP1 2050","CNRM-CM6-1-HR",2001,NA
"SSP1 2050","CNRM-CM6-1-HR",2002,93.9166666666667
"SSP1 2050","CNRM-CM6-1-HR",2003,94.0416666666667
"SSP1 2050","CNRM-CM6-1-HR",2004,90.2083333333333
"SSP1 2050","CNRM-CM6-1-HR",2005,87.3333333333333
"SSP1 2050","CNRM-CM6-1-HR",2006,93.0833333333333
"SSP1 2050","CNRM-CM6-1-HR",2007,92.0416666666667
"SSP1 2050","CNRM-CM6-1-HR",2008,100.5
"SSP1 2050","CNRM-CM6-1-HR",2009,95
"SSP1 2050","CNRM-CM6-1-HR",2010,89.5416666666667
"SSP1 2050","CNRM-CM6-1-HR",2011,87.1666666666667
"SSP1 2050","CNRM-CM6-1-HR",2012,102.833333333333
"SSP1 2050","CNRM-CM6-1-HR",2013,91.875
"SSP1 2050","CNRM-CM6-1-HR",2014,101.916666666667
"SSP1 2050","CNRM-CM6-1-HR",2015,110
"SSP1 2050","CNRM-CM6-1-HR",2016,97.0416666666667
"SSP1 2050","CNRM-CM6-1-HR",2017,99.125
"SSP1 2050","CNRM-CM6-1-HR",2018,94.25
"SSP1 2050","CNRM-CM6-1-HR",2019,115.958333333333
"SSP1 2050","CNRM-CM6-1-HR",2020,95.3333333333333
"SSP1 2050","CNRM-CM6-1-HR",2021,91.2916666666667
"SSP1 2050","CNRM-CM6-1-HR",2022,94.5833333333333
"SSP1 2050","CNRM-CM6-1-HR",2023,101
"SSP1 2050","CNRM-CM6-1-HR",2024,98.1666666666667
"SSP1 2050","CNRM-CM6-1-HR",2025,88.0416666666667
"SSP1 2050","CNRM-CM6-1-HR",2026,65.0416666666667
"SSP1 2050","CNRM-CM6-1-HR",2027,85.4166666666667
"SSP1 2050","CNRM-CM6-1-HR",2028,85.3333333333333
"SSP1 2050","CNRM-CM6-1-HR",2029,91
"SSP1 2050","CNRM-CM6-1-HR",2030,101.958333333333
"SSP1 2050","CNRM-CM6-1-HR",2031,63
"SSP1 2050","CNRM-CM6-1-HR",2032,83.4583333333333
"SSP1 2050","CNRM-CM6-1-HR",2033,100.666666666667
"SSP1 2050","CNRM-CM6-1-HR",2034,100.083333333333
"SSP1 2050","CNRM-CM6-1-HR",2035,98.3333333333333
"SSP1 2050","CNRM-CM6-1-HR",2036,99.0833333333333
"SSP1 2050","CNRM-CM6-1-HR",2037,106
"SSP1 2050","CNRM-CM6-1-HR",2038,107.166666666667
"SSP1 2050","CNRM-CM6-1-HR",2039,120.041666666667
"SSP1 2050","CNRM-CM6-1-HR",2040,77.3333333333333
"SSP1 2050","CNRM-CM6-1-HR",2041,77.9166666666667
"SSP1 2050","CNRM-CM6-1-HR",2042,101.083333333333
"SSP1 2050","CNRM-CM6-1-HR",2043,82.2916666666667
"SSP1 2050","CNRM-CM6-1-HR",2044,92.25
"SSP1 2050","CNRM-CM6-1-HR",2045,105.208333333333
"SSP1 2050","CNRM-CM6-1-HR",2046,116.375
"SSP1 2050","CNRM-CM6-1-HR",2047,98.2916666666667
"SSP1 2050","CNRM-CM6-1-HR",2048,100.208333333333
"SSP1 2050","CNRM-CM6-1-HR",2049,105.125
"SSP1 2050","CNRM-CM6-1-HR",2050,100.333333333333
"SSP1 2050","CNRM-CM6-1-HR",2051,117
"SSP1 2050","CNRM-CM6-1-HR",2052,105.25
"SSP1 2050","CNRM-CM6-1-HR",2053,78.125
"SSP1 2050","CNRM-CM6-1-HR",2054,73.0833333333333
"SSP1 2050","CNRM-CM6-1-HR",2055,88.0833333333333
"SSP1 2050","CNRM-CM6-1-HR",2056,91.375
"SSP1 2050","CNRM-CM6-1-HR",2057,101.333333333333
"SSP1 2050","CNRM-CM6-1-HR",2058,96.25
"SSP1 2050","CNRM-CM6-1-HR",2059,93.9583333333333
"SSP1 2050","CNRM-CM6-1-HR",2060,102.166666666667
"SSP1 2050","CNRM-CM6-1-HR",2061,104
"SSP1 2050","CNRM-CM6-1-HR",2062,109.166666666667
"SSP1 2050","CNRM-CM6-1-HR",2063,100.083333333333
"SSP1 2050","CNRM-CM6-1-HR",2064,96.2916666666667
"SSP1 2050","CNRM-CM6-1-HR",2065,85.9583333333333
"SSP1 2050","CNRM-CM6-1-HR",2066,88.6666666666667
"SSP1 2050","CNRM-CM6-1-HR",2067,85.3333333333333
"SSP1 2050","CNRM-CM6-1-HR",2068,99.2083333333333
"SSP1 2050","CNRM-CM6-1-HR",2069,94.9583333333333
"SSP1 2050","CNRM-CM6-1-HR",2070,91.0833333333333
"SSP1 2050","CNRM-CM6-1-HR",2071,95.1666666666667
"SSP1 2050","CNRM-CM6-1-HR",2072,83
"SSP1 2050","CNRM-CM6-1-HR",2073,75.3333333333333
"SSP1 2050","CNRM-CM6-1-HR",2074,97.7916666666667
"SSP1 2050","CNRM-CM6-1-HR",2075,98.5416666666667
"SSP1 2050","CNRM-CM6-1-HR",2076,79.125
"SSP1 2050","CNRM-CM6-1-HR",2077,91.0833333333333
"SSP1 2050","CNRM-CM6-1-HR",2078,108.333333333333
"SSP1 2050","CNRM-CM6-1-HR",2079,91.0416666666667
"SSP1 2050","CNRM-CM6-1-HR",2080,91.3333333333333
"SSP1 2050","CNRM-CM6-1-HR",2081,67.2916666666667
